fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,best_fitness_mean,best_fitness_std,mean_accuracy_mean,mean_accuracy_std,best_accuracy_mean,best_accuracy_std,best_accuracy_min,best_accuracy_max
regret,top10,1,5,20,1.00,0.00,1,1,0.000000,0.000000,50.00,1.32,81.00,5.83,75.00,90.00
regret,top10,2,10,20,1.00,0.00,1,1,0.000000,0.000000,51.30,1.23,87.00,8.12,75.00,95.00
regret,top10,4,20,20,2.20,1.60,1,5,0.000000,0.000000,52.11,2.61,84.00,3.74,80.00,90.00
regret,top10,6,30,20,12.60,5.89,4,22,0.000000,0.000000,55.26,2.68,91.00,3.74,85.00,95.00
regret,top10,8,40,20,9.80,0.75,9,11,0.000000,0.000000,59.84,1.87,94.00,2.00,90.00,95.00
regret,top30,1,5,20,1.00,0.00,1,1,0.000000,0.000000,50.12,1.82,89.00,5.83,80.00,95.00
regret,top30,2,10,20,2.40,1.02,1,4,0.000000,0.000000,51.51,0.78,85.00,0.00,85.00,85.00
regret,top30,4,20,20,7.80,2.93,5,13,0.000000,0.000000,56.42,2.38,88.00,6.00,80.00,95.00
regret,top30,6,30,20,12.60,3.56,7,18,0.000000,0.000000,63.24,2.64,91.00,4.90,85.00,95.00
regret,top30,8,40,20,13.60,1.96,10,15,0.000000,0.000000,68.25,4.95,94.00,2.00,90.00,95.00
regret,top70,1,5,20,4.80,1.17,3,6,0.000000,0.000000,53.32,1.92,90.00,4.47,85.00,95.00
regret,top70,2,10,20,7.00,1.26,6,9,0.000000,0.000000,56.15,3.17,86.00,3.74,80.00,90.00
regret,top70,4,20,20,13.40,1.85,11,16,0.000000,0.000000,62.46,1.89,89.00,3.74,85.00,95.00
regret,top70,6,30,20,18.40,3.32,13,23,0.000000,0.000000,69.53,6.27,93.00,4.00,85.00,95.00
regret,top70,8,40,20,20.00,2.83,15,23,0.000000,0.000000,74.31,4.95,94.00,2.00,90.00,95.00
regret,top90,1,5,20,9.40,1.36,8,12,0.000000,0.000000,56.44,2.05,90.00,3.16,85.00,95.00
regret,top90,2,10,20,14.00,2.28,11,18,0.000000,0.000000,56.72,2.84,88.00,4.00,85.00,95.00
regret,top90,4,20,20,17.20,2.79,14,22,0.000000,0.000000,65.25,4.04,89.00,3.74,85.00,95.00
regret,top90,6,30,20,21.00,1.10,20,23,0.000000,0.000000,68.89,5.93,90.00,4.47,85.00,95.00
regret,top90,8,40,20,22.20,0.98,21,24,0.000000,0.000000,67.96,8.74,89.00,4.90,85.00,95.00
binary,top10,1,5,20,1.00,0.00,1,1,0.000000,0.000000,50.21,1.76,82.00,4.00,75.00,85.00
binary,top10,2,10,20,1.00,0.00,1,1,0.000000,0.000000,50.36,0.76,81.00,4.90,75.00,85.00
binary,top10,4,20,20,1.80,0.75,1,3,0.000000,0.000000,50.15,0.83,84.00,2.00,80.00,85.00
binary,top10,6,30,20,5.00,1.67,2,7,0.000000,0.000000,57.29,3.81,89.00,3.74,85.00,95.00
binary,top10,8,40,20,7.00,0.63,6,8,0.000000,0.000000,60.01,1.94,91.00,4.90,85.00,95.00
binary,top30,1,5,20,1.00,0.00,1,1,0.000000,0.000000,51.50,0.96,90.00,4.47,85.00,95.00
binary,top30,2,10,20,2.00,0.63,1,3,0.000000,0.000000,50.76,1.34,86.00,7.35,80.00,100.00
binary,top30,4,20,20,8.00,1.79,6,11,0.000000,0.000000,57.04,3.30,88.00,4.00,85.00,95.00
binary,top30,6,30,20,9.20,0.75,8,10,0.000000,0.000000,63.80,2.93,91.00,3.74,85.00,95.00
binary,top30,8,40,20,11.00,1.55,8,12,0.000000,0.000000,66.23,6.28,93.00,5.10,85.00,100.00
binary,top70,1,5,20,4.20,0.75,3,5,0.000000,0.000000,51.59,2.05,87.00,7.48,75.00,95.00
binary,top70,2,10,20,8.20,2.04,5,11,0.000000,0.000000,56.01,1.54,90.00,4.47,85.00,95.00
binary,top70,4,20,20,12.80,2.93,9,18,0.000000,0.000000,64.36,2.02,92.00,4.00,85.00,95.00
binary,top70,6,30,20,14.40,1.62,12,16,0.000000,0.000000,68.05,3.57,95.00,0.00,95.00,95.00
binary,top70,8,40,20,15.20,1.17,14,17,0.000000,0.000000,70.98,5.60,96.00,2.00,95.00,100.00
binary,top90,1,5,20,10.20,1.72,8,13,0.000000,0.000000,53.88,3.20,85.00,6.32,75.00,95.00
binary,top90,2,10,20,12.60,3.20,8,18,0.000000,0.000000,58.26,4.19,87.00,4.00,85.00,95.00
binary,top90,4,20,20,16.60,1.62,15,19,0.000000,0.000000,63.16,4.50,90.00,4.47,85.00,95.00
binary,top90,6,30,20,18.60,2.80,16,22,0.000000,0.000000,71.41,1.69,93.00,2.45,90.00,95.00
binary,top90,8,40,20,19.60,1.50,18,22,0.000000,0.000000,76.96,6.99,95.00,5.48,85.00,100.00
margin,top10,1,5,20,1.00,0.00,1,1,0.000000,0.000000,50.21,1.24,86.00,4.90,80.00,95.00
margin,top10,2,10,20,1.20,0.40,1,2,0.000000,0.000000,49.62,0.72,85.00,3.16,80.00,90.00
margin,top10,4,20,20,8.00,2.10,5,10,0.000000,0.000000,59.88,3.91,87.00,5.10,80.00,95.00
margin,top10,6,30,20,9.80,0.98,8,11,0.000000,0.000000,65.57,1.73,93.00,5.10,85.00,100.00
margin,top10,8,40,20,12.00,1.10,10,13,0.000000,0.000000,68.64,4.75,93.00,4.00,85.00,95.00
margin,top30,1,5,20,1.40,0.49,1,2,0.000000,0.000000,50.29,0.86,86.00,2.00,85.00,90.00
margin,top30,2,10,20,6.60,2.65,2,10,0.000000,0.000000,55.58,3.09,87.00,4.00,85.00,95.00
margin,top30,4,20,20,11.40,3.77,8,16,0.000000,0.000000,61.23,4.17,90.00,4.47,85.00,95.00
margin,top30,6,30,20,13.80,2.64,11,18,0.000000,0.000000,68.29,4.44,93.00,4.00,85.00,95.00
margin,top30,8,40,20,15.60,1.62,14,18,0.000000,0.000000,75.08,3.54,94.00,2.00,90.00,95.00
margin,top70,1,5,20,7.00,0.63,6,8,0.000000,0.000000,52.81,2.58,91.00,4.90,85.00,95.00
margin,top70,2,10,20,9.80,3.19,5,15,0.000000,0.000000,57.18,6.68,85.00,8.37,75.00,95.00
margin,top70,4,20,20,17.20,2.14,14,20,0.000000,0.000000,64.13,8.86,91.00,3.74,85.00,95.00
margin,top70,6,30,20,17.80,3.19,14,22,0.000000,0.000000,72.60,3.15,92.00,4.00,85.00,95.00
margin,top70,8,40,20,19.40,2.15,16,22,0.000000,0.000000,78.60,4.80,95.00,0.00,95.00,95.00
margin,top90,1,5,20,8.60,1.62,6,11,0.000000,0.000000,57.43,5.45,88.00,6.78,75.00,95.00
margin,top90,2,10,20,13.20,2.93,10,18,0.000000,0.000000,60.33,6.65,89.00,8.00,75.00,95.00
margin,top90,4,20,20,19.60,1.96,18,22,0.000000,0.000000,64.69,7.19,90.00,4.47,85.00,95.00
margin,top90,6,30,20,21.60,2.42,17,24,0.000000,0.000000,71.14,3.84,93.00,4.00,85.00,95.00
margin,top90,8,40,20,23.60,2.06,21,26,0.000000,0.000000,76.42,2.65,93.00,4.00,85.00,95.00
softmax,top10,1,5,20,100.00,0.00,100,100,0.000045,0.000000,46.30,12.65,66.00,12.00,45.00,80.00
softmax,top10,2,10,20,100.00,0.00,100,100,0.000091,0.000000,66.98,10.27,85.00,8.94,75.00,95.00
softmax,top10,4,20,20,100.00,0.00,100,100,0.000182,0.000000,64.71,6.53,77.00,4.00,75.00,85.00
softmax,top10,6,30,20,100.00,0.00,100,100,0.000272,0.000000,70.10,6.76,77.00,7.48,65.00,85.00
softmax,top10,8,40,20,100.00,0.00,100,100,0.000363,0.000000,76.61,9.91,87.00,9.80,75.00,95.00
softmax,top30,1,5,20,100.00,0.00,100,100,0.000045,0.000000,63.56,10.52,79.00,11.58,65.00,100.00
softmax,top30,2,10,20,100.00,0.00,100,100,0.000091,0.000000,51.81,6.02,70.00,8.94,60.00,85.00
softmax,top30,4,20,20,100.00,0.00,100,100,0.000182,0.000000,64.51,8.43,81.00,10.20,65.00,95.00
softmax,top30,6,30,20,100.00,0.00,100,100,0.000272,0.000000,65.48,6.95,73.00,7.48,65.00,85.00
softmax,top30,8,40,20,100.00,0.00,100,100,0.000363,0.000000,75.31,7.93,89.00,8.00,75.00,95.00
softmax,top70,1,5,20,100.00,0.00,100,100,0.000045,0.000000,56.26,13.81,75.00,12.65,65.00,95.00
softmax,top70,2,10,20,100.00,0.00,100,100,0.000091,0.000000,58.40,10.23,75.00,10.95,55.00,85.00
softmax,top70,4,20,20,100.00,0.00,100,100,0.000182,0.000000,63.25,12.76,79.00,8.00,65.00,85.00
softmax,top70,6,30,20,100.00,0.00,100,100,0.000272,0.000000,72.00,8.29,81.00,8.00,75.00,95.00
softmax,top70,8,40,20,100.00,0.00,100,100,0.000364,0.000002,77.30,7.78,83.00,7.48,75.00,95.00
softmax,top90,1,5,20,100.00,0.00,100,100,0.000045,0.000000,52.92,10.45,73.00,7.48,65.00,85.00
softmax,top90,2,10,20,100.00,0.00,100,100,0.000091,0.000000,65.16,6.16,77.00,7.48,65.00,85.00
softmax,top90,4,20,20,100.00,0.00,100,100,0.000182,0.000000,64.46,12.68,77.00,9.80,65.00,95.00
softmax,top90,6,30,20,100.00,0.00,100,100,0.000272,0.000000,68.28,3.02,81.00,8.00,75.00,95.00
softmax,top90,8,40,20,100.00,0.00,100,100,0.004577,0.008427,80.55,7.47,87.00,7.48,75.00,95.00
regret_reg,top10,1,5,20,70.20,7.17,64,84,0.192146,0.010354,52.62,2.29,87.00,4.00,85.00,95.00
regret_reg,top10,2,10,20,78.60,4.63,71,84,0.194428,0.017519,61.16,3.72,91.00,4.90,85.00,95.00
regret_reg,top10,4,20,20,88.20,10.67,72,100,0.195747,0.020680,62.15,4.67,92.00,4.00,85.00,95.00
regret_reg,top10,6,30,20,94.00,7.77,81,100,0.216504,0.010513,66.99,2.48,93.00,4.00,85.00,95.00
regret_reg,top10,8,40,20,92.60,9.71,76,100,0.243505,0.011810,73.25,4.03,93.00,4.00,85.00,95.00
regret_reg,top30,1,5,20,69.20,11.44,56,86,0.182502,0.007668,51.15,3.96,81.00,3.74,75.00,85.00
regret_reg,top30,2,10,20,70.80,6.08,59,75,0.193836,0.006462,56.36,1.98,88.00,5.10,80.00,95.00
regret_reg,top30,4,20,20,85.60,10.98,70,100,0.216085,0.010316,64.61,2.52,93.00,4.00,85.00,95.00
regret_reg,top30,6,30,20,86.20,11.89,69,100,0.232160,0.007114,67.12,3.42,90.00,4.47,85.00,95.00
regret_reg,top30,8,40,20,91.80,10.44,75,100,0.232963,0.012427,72.82,3.86,93.00,4.00,85.00,95.00
regret_reg,top70,1,5,20,81.00,12.66,66,100,0.186279,0.013854,53.79,4.10,87.00,4.00,85.00,95.00
regret_reg,top70,2,10,20,76.80,8.93,64,90,0.188793,0.005145,58.12,3.07,91.00,4.90,85.00,95.00
regret_reg,top70,4,20,20,86.80,8.03,78,100,0.197267,0.017279,62.91,4.35,91.00,3.74,85.00,95.00
regret_reg,top70,6,30,20,93.20,8.54,80,100,0.221572,0.018324,70.46,5.29,94.00,2.00,90.00,95.00
regret_reg,top70,8,40,20,90.60,9.95,73,100,0.244569,0.008230,72.92,4.48,93.00,4.00,85.00,95.00
regret_reg,top90,1,5,20,81.80,12.42,69,100,0.183733,0.005794,51.87,2.39,87.00,4.00,85.00,95.00
regret_reg,top90,2,10,20,82.00,10.26,74,100,0.209989,0.006342,55.56,4.19,84.00,6.63,75.00,95.00
regret_reg,top90,4,20,20,92.60,5.24,84,100,0.205480,0.005677,61.11,7.57,88.00,8.72,75.00,100.00
regret_reg,top90,6,30,20,94.60,7.79,80,100,0.225448,0.016056,68.65,2.67,94.00,4.90,85.00,100.00
regret_reg,top90,8,40,20,86.00,9.40,72,100,0.245845,0.011811,73.33,5.31,91.00,4.90,85.00,95.00
