mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,fitness_mean,fitness_std,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,mse_chance_mean,mse_chance_std,mse_utility_mean,mse_utility_std,entropy_norm_mean,entropy_norm_std,util_dev_mean,util_dev_std
both,non_symmetric,1.0,1.0,binary,top50,1,5,20,0.40,0.49,0,1,nan,nan,nan,nan,80.00,85.00,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,0.20,0.40,0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,margin,top50,1,5,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,margin,top50,2,10,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,margin,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,margin,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,softmax,top50,1,5,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,softmax,top50,2,10,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,softmax,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,regret,top50,1,5,20,0.40,0.49,0,1,nan,nan,nan,nan,80.00,85.00,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,regret,top50,2,10,20,0.20,0.40,0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,regret,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,regret,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,entropy,top50,1,5,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,entropy,top50,2,10,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,entropy,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,non_symmetric,1.0,1.0,entropy,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,binary,top50,1,5,20,0.40,0.49,0,1,nan,nan,nan,nan,80.00,85.00,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,binary,top50,2,10,20,0.20,0.40,0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,binary,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,binary,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,margin,top50,1,5,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,margin,top50,2,10,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,margin,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,margin,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,softmax,top50,1,5,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,softmax,top50,2,10,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,softmax,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,softmax,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,regret,top50,1,5,20,0.40,0.49,0,1,nan,nan,nan,nan,80.00,85.00,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,regret,top50,2,10,20,0.20,0.40,0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,regret,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,regret,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,entropy,top50,1,5,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,entropy,top50,2,10,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,entropy,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
both,symmetric,1.0,1.0,entropy,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
utility_only,non_symmetric,1.0,1.0,binary,top50,1,5,20,1.00,0.00,1,1,0.100000,0.063246,100.00,0.00,100.00,100.00,0.000000,0.000000,7.055578,1.685513,18.825307,0.000000,43.356601,0.465276
utility_only,non_symmetric,1.0,1.0,binary,top50,2,10,20,1.00,0.00,1,1,0.264000,0.059867,100.00,0.00,100.00,100.00,0.000000,0.000000,7.055578,1.685513,18.825307,0.000000,43.356601,0.465276
utility_only,non_symmetric,1.0,1.0,binary,top50,4,20,20,1.40,0.49,1,2,0.516000,0.199760,100.00,0.00,100.00,100.00,0.000000,0.000000,6.921668,1.763322,18.825307,0.000000,43.671605,0.457224
utility_only,non_symmetric,1.0,1.0,binary,top50,8,40,20,1.60,0.80,1,3,0.816000,0.480233,100.00,0.00,100.00,100.00,0.000000,0.000000,7.005140,1.708681,18.825307,0.000000,43.811227,0.518084
utility_only,non_symmetric,1.0,1.0,margin,top50,1,5,20,27.20,11.09,17,48,0.129044,0.202819,95.00,3.16,90.00,100.00,0.000000,0.000000,15.330461,3.774554,18.825307,0.000000,44.405706,0.077463
utility_only,non_symmetric,1.0,1.0,margin,top50,2,10,20,45.60,12.56,28,60,0.403772,0.210836,96.00,2.00,95.00,100.00,0.000000,0.000000,18.603168,5.898437,18.825307,0.000000,44.386970,0.111818
utility_only,non_symmetric,1.0,1.0,margin,top50,4,20,20,43.40,13.41,26,60,1.358809,0.792386,98.00,2.45,95.00,100.00,0.000000,0.000000,13.844289,4.791459,18.825307,0.000000,44.423698,0.041492
utility_only,non_symmetric,1.0,1.0,margin,top50,8,40,20,49.20,7.03,40,60,2.603409,1.336600,98.00,2.45,95.00,100.00,0.000000,0.000000,16.064311,4.694355,18.825307,0.000000,43.555556,1.777778
utility_only,non_symmetric,1.0,1.0,softmax,top50,1,5,20,18.40,2.33,15,21,0.363154,0.070680,98.00,2.45,95.00,100.00,0.000000,0.000000,15.257314,3.216900,18.825307,0.000000,44.436623,0.015594
utility_only,non_symmetric,1.0,1.0,softmax,top50,2,10,20,25.00,3.63,21,30,0.724923,0.172484,96.00,2.00,95.00,100.00,0.000000,0.000000,14.477125,4.390192,18.825307,0.000000,43.912504,1.036206
utility_only,non_symmetric,1.0,1.0,softmax,top50,4,20,20,19.80,3.54,15,26,1.500981,0.297593,98.00,2.45,95.00,100.00,0.000000,0.000000,11.469952,3.596289,18.825307,0.000000,40.737308,5.217814
utility_only,non_symmetric,1.0,1.0,softmax,top50,8,40,20,29.60,3.61,24,34,3.000354,0.619606,98.00,2.45,95.00,100.00,0.000000,0.000000,14.048311,3.121864,18.825307,0.000000,40.888829,5.183028
utility_only,non_symmetric,1.0,1.0,regret,top50,1,5,20,1.00,0.00,1,1,0.007797,0.007336,100.00,0.00,100.00,100.00,0.000000,0.000000,7.055578,1.685513,18.825307,0.000000,43.356601,0.465276
utility_only,non_symmetric,1.0,1.0,regret,top50,2,10,20,1.00,0.00,1,1,0.022911,0.009378,100.00,0.00,100.00,100.00,0.000000,0.000000,7.055578,1.685513,18.825307,0.000000,43.356601,0.465276
utility_only,non_symmetric,1.0,1.0,regret,top50,4,20,20,1.40,0.49,1,2,0.064186,0.032149,100.00,0.00,100.00,100.00,0.000000,0.000000,6.926734,1.775673,18.825307,0.000000,43.682604,0.474036
utility_only,non_symmetric,1.0,1.0,regret,top50,8,40,20,1.60,0.80,1,3,0.137892,0.088181,100.00,0.00,100.00,100.00,0.000000,0.000000,7.227084,1.773561,18.825307,0.000000,43.741293,0.476037
utility_only,non_symmetric,1.0,1.0,entropy,top50,1,5,20,18.40,2.33,15,21,0.423915,0.074045,98.00,2.45,95.00,100.00,0.000000,0.000000,15.257314,3.216900,18.825307,0.000000,44.436623,0.015594
utility_only,non_symmetric,1.0,1.0,entropy,top50,2,10,20,23.60,1.85,21,26,0.802410,0.141516,97.00,2.45,95.00,100.00,0.000000,0.000000,15.625273,6.303140,18.825307,0.000000,44.444332,0.000203
utility_only,non_symmetric,1.0,1.0,entropy,top50,4,20,20,22.80,2.40,19,25,1.690932,0.328859,97.00,2.45,95.00,100.00,0.000000,0.000000,12.537560,3.403507,18.825307,0.000000,40.854584,5.159938
utility_only,non_symmetric,1.0,1.0,entropy,top50,8,40,20,29.60,3.98,24,35,3.522079,0.812121,97.00,2.45,95.00,100.00,0.000000,0.000000,17.071241,5.338089,18.825307,0.000000,43.555502,1.777755
utility_only,symmetric,1.0,1.0,binary,top50,1,5,20,1.00,0.00,1,1,0.100000,0.063246,100.00,0.00,100.00,100.00,0.000000,0.000000,7.055578,1.685513,18.825307,0.000000,43.356601,0.465276
utility_only,symmetric,1.0,1.0,binary,top50,2,10,20,1.00,0.00,1,1,0.264000,0.059867,100.00,0.00,100.00,100.00,0.000000,0.000000,7.055578,1.685513,18.825307,0.000000,43.356601,0.465276
utility_only,symmetric,1.0,1.0,binary,top50,4,20,20,1.60,0.80,1,3,0.468000,0.191666,100.00,0.00,100.00,100.00,0.000000,0.000000,7.782554,1.539882,18.825307,0.000000,43.872850,0.565500
utility_only,symmetric,1.0,1.0,binary,top50,8,40,20,1.60,0.80,1,3,0.920000,0.366388,100.00,0.00,100.00,100.00,0.000000,0.000000,6.871342,2.321935,18.825307,0.000000,43.863558,0.558348
utility_only,symmetric,1.0,1.0,margin,top50,1,5,20,35.60,15.60,15,60,0.127519,0.191102,96.00,2.00,95.00,100.00,0.000000,0.000000,22.208455,5.304818,18.825307,0.000000,44.428146,0.032554
utility_only,symmetric,1.0,1.0,margin,top50,2,10,20,43.60,8.43,37,60,0.369313,0.229036,96.00,2.00,95.00,100.00,0.000000,0.000000,17.880363,4.643784,18.825307,0.000000,44.444338,0.000154
utility_only,symmetric,1.0,1.0,margin,top50,4,20,20,47.00,15.52,23,60,1.091566,0.555873,97.00,2.45,95.00,100.00,0.000000,0.000000,12.441626,2.681666,18.825307,0.000000,40.821101,5.138148
utility_only,symmetric,1.0,1.0,margin,top50,8,40,20,46.20,11.60,27,60,2.284884,1.176665,97.00,2.45,95.00,100.00,0.000000,0.000000,18.306178,3.382134,18.825307,0.000000,44.008302,0.872282
utility_only,symmetric,1.0,1.0,softmax,top50,1,5,20,22.80,6.40,14,30,0.352547,0.062008,96.00,2.00,95.00,100.00,0.000000,0.000000,22.302989,5.834197,18.825307,0.000000,43.956412,0.975904
utility_only,symmetric,1.0,1.0,softmax,top50,2,10,20,23.20,3.87,17,28,0.689731,0.133145,96.00,2.00,95.00,100.00,0.000000,0.000000,15.592728,4.570286,18.825307,0.000000,42.163964,1.998207
utility_only,symmetric,1.0,1.0,softmax,top50,4,20,20,21.40,3.72,16,26,1.493005,0.338726,97.00,2.45,95.00,100.00,0.000000,0.000000,11.969940,3.124600,18.825307,0.000000,42.377812,2.048418
utility_only,symmetric,1.0,1.0,softmax,top50,8,40,20,22.20,6.49,15,34,2.933287,0.594566,97.00,2.45,95.00,100.00,0.000000,0.000000,16.089069,6.191774,18.825307,0.000000,41.773177,5.331040
utility_only,symmetric,1.0,1.0,regret,top50,1,5,20,1.00,0.00,1,1,0.007797,0.007336,100.00,0.00,100.00,100.00,0.000000,0.000000,7.055578,1.685513,18.825307,0.000000,43.356601,0.465276
utility_only,symmetric,1.0,1.0,regret,top50,2,10,20,1.00,0.00,1,1,0.022911,0.009378,100.00,0.00,100.00,100.00,0.000000,0.000000,7.055578,1.685513,18.825307,0.000000,43.356601,0.465276
utility_only,symmetric,1.0,1.0,regret,top50,4,20,20,1.40,0.49,1,2,0.070754,0.044129,100.00,0.00,100.00,100.00,0.000000,0.000000,6.695166,1.932907,18.825307,0.000000,43.744319,0.468502
utility_only,symmetric,1.0,1.0,regret,top50,8,40,20,1.60,0.80,1,3,0.133566,0.093846,100.00,0.00,100.00,100.00,0.000000,0.000000,6.780404,1.855910,18.825307,0.000000,43.811984,0.533547
utility_only,symmetric,1.0,1.0,entropy,top50,1,5,20,22.80,6.40,14,30,0.412854,0.065076,96.00,2.00,95.00,100.00,0.000000,0.000000,22.302989,5.834197,18.825307,0.000000,43.956412,0.975904
utility_only,symmetric,1.0,1.0,entropy,top50,2,10,20,23.60,5.39,18,33,0.838545,0.168794,96.00,2.00,95.00,100.00,0.000000,0.000000,13.721728,1.985915,18.825307,0.000000,43.395713,1.726047
utility_only,symmetric,1.0,1.0,entropy,top50,4,20,20,23.40,3.83,19,30,1.775574,0.431878,96.00,2.00,95.00,100.00,0.000000,0.000000,14.983717,6.554758,18.825307,0.000000,44.405592,0.061197
utility_only,symmetric,1.0,1.0,entropy,top50,8,40,20,23.80,4.40,18,30,3.358460,0.688456,96.00,2.00,95.00,100.00,0.000000,0.000000,16.842610,5.936324,18.825307,0.000000,44.260868,0.352696
chance_only,non_symmetric,1.0,1.0,binary,top50,1,5,20,0.60,0.49,0,1,nan,nan,nan,nan,85.00,85.00,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,binary,top50,2,10,20,0.20,0.40,0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,binary,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,binary,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,margin,top50,1,5,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,margin,top50,2,10,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,margin,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,margin,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,softmax,top50,1,5,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,softmax,top50,2,10,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,softmax,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,softmax,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,regret,top50,1,5,20,0.60,0.49,0,1,nan,nan,nan,nan,85.00,85.00,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,regret,top50,2,10,20,0.20,0.40,0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,regret,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,regret,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,entropy,top50,1,5,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,entropy,top50,2,10,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,entropy,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,non_symmetric,1.0,1.0,entropy,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,binary,top50,1,5,20,0.60,0.49,0,1,nan,nan,nan,nan,85.00,85.00,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,binary,top50,2,10,20,0.20,0.40,0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,binary,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,binary,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,margin,top50,1,5,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,margin,top50,2,10,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,margin,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,margin,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,softmax,top50,1,5,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,softmax,top50,2,10,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,softmax,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,softmax,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,regret,top50,1,5,20,0.60,0.49,0,1,nan,nan,nan,nan,85.00,85.00,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,regret,top50,2,10,20,0.20,0.40,0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,regret,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,regret,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,entropy,top50,1,5,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,entropy,top50,2,10,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,entropy,top50,4,20,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chance_only,symmetric,1.0,1.0,entropy,top50,8,40,20,0.00,0.00,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
