network,optimizer,mode,pct,n_decision_rules,total_rules,stop_mode,rep,seed,pop_size,n_satisfiers,frac_satisfiers,sat_acc_mean,sat_acc_std,sat_acc_best,sat_acc_worst,pop_acc_mean,pop_acc_best,pop_acc_worst,best_fitness,stop_generation,cpu_total
bypass,umda,both,5,1,20,top10,0,42,50,48,0.96,26.25,6.884463184107628,40.0,15.0,25.9,40.0,15.0,0.0,50,2.453125
bypass,umda,both,5,1,20,top10,1,43,50,50,1.0,63.9,10.64377752492037,85.0,25.0,63.9,85.0,25.0,0.0,50,2.46875
bypass,umda,both,5,1,20,top10,2,44,50,50,1.0,44.1,5.804308744372581,60.0,35.0,44.1,60.0,35.0,0.0,50,2.25
bypass,umda,both,5,1,20,top10,3,45,50,50,1.0,56.1,10.261091559868278,75.0,35.0,56.1,75.0,35.0,0.0,50,2.3125
bypass,umda,both,5,1,20,top10,4,46,50,50,1.0,58.6,6.931089380465382,70.0,45.0,58.6,70.0,45.0,0.0,50,2.53125
bypass,umda,both,5,1,20,top10,5,47,50,50,1.0,60.3,10.02047903046556,75.0,45.0,60.3,75.0,45.0,0.0,50,2.265625
bypass,umda,both,5,1,20,top10,6,48,50,50,1.0,52.4,5.58927544499285,65.0,35.0,52.4,65.0,35.0,0.0,50,2.296875
bypass,umda,both,5,1,20,top10,7,49,50,50,1.0,73.8,5.6178287620752565,80.0,60.0,73.8,80.0,60.0,0.0,50,2.265625
bypass,umda,both,5,1,20,top10,8,50,50,49,0.98,63.36734693877551,4.561121762985103,75.0,50.0,63.3,75.0,50.0,0.0,50,2.296875
bypass,umda,both,5,1,20,top10,9,51,50,50,1.0,42.3,8.49764673306675,65.0,25.0,42.3,65.0,25.0,0.0,50,2.34375
bypass,umda,both,5,1,20,top30,0,42,50,48,0.96,26.25,6.884463184107628,40.0,15.0,25.9,40.0,15.0,0.0,50,2.453125
bypass,umda,both,5,1,20,top30,1,43,50,50,1.0,63.9,10.64377752492037,85.0,25.0,63.9,85.0,25.0,0.0,50,2.4375
bypass,umda,both,5,1,20,top30,2,44,50,50,1.0,44.1,5.804308744372581,60.0,35.0,44.1,60.0,35.0,0.0,50,2.53125
bypass,umda,both,5,1,20,top30,3,45,50,50,1.0,56.1,10.261091559868278,75.0,35.0,56.1,75.0,35.0,0.0,50,2.484375
bypass,umda,both,5,1,20,top30,4,46,50,50,1.0,58.6,6.931089380465382,70.0,45.0,58.6,70.0,45.0,0.0,50,2.4375
bypass,umda,both,5,1,20,top30,5,47,50,50,1.0,60.3,10.02047903046556,75.0,45.0,60.3,75.0,45.0,0.0,50,2.328125
bypass,umda,both,5,1,20,top30,6,48,50,50,1.0,52.4,5.58927544499285,65.0,35.0,52.4,65.0,35.0,0.0,50,2.21875
bypass,umda,both,5,1,20,top30,7,49,50,50,1.0,73.8,5.6178287620752565,80.0,60.0,73.8,80.0,60.0,0.0,50,2.28125
bypass,umda,both,5,1,20,top30,8,50,50,49,0.98,63.36734693877551,4.561121762985103,75.0,50.0,63.3,75.0,50.0,0.0,50,2.234375
bypass,umda,both,5,1,20,top30,9,51,50,50,1.0,42.3,8.49764673306675,65.0,25.0,42.3,65.0,25.0,0.0,50,2.203125
bypass,umda,both,5,1,20,top50,0,42,50,48,0.96,26.25,6.884463184107628,40.0,15.0,25.9,40.0,15.0,0.0,50,2.21875
bypass,umda,both,5,1,20,top50,1,43,50,50,1.0,63.9,10.64377752492037,85.0,25.0,63.9,85.0,25.0,0.0,50,2.234375
bypass,umda,both,5,1,20,top50,2,44,50,50,1.0,44.1,5.804308744372581,60.0,35.0,44.1,60.0,35.0,0.0,50,2.21875
bypass,umda,both,5,1,20,top50,3,45,50,50,1.0,56.1,10.261091559868278,75.0,35.0,56.1,75.0,35.0,0.0,50,2.15625
bypass,umda,both,5,1,20,top50,4,46,50,50,1.0,58.6,6.931089380465382,70.0,45.0,58.6,70.0,45.0,0.0,50,2.15625
bypass,umda,both,5,1,20,top50,5,47,50,50,1.0,60.3,10.02047903046556,75.0,45.0,60.3,75.0,45.0,0.0,50,2.21875
bypass,umda,both,5,1,20,top50,6,48,50,50,1.0,52.4,5.58927544499285,65.0,35.0,52.4,65.0,35.0,0.0,50,2.3125
bypass,umda,both,5,1,20,top50,7,49,50,50,1.0,73.8,5.6178287620752565,80.0,60.0,73.8,80.0,60.0,0.0,50,2.21875
bypass,umda,both,5,1,20,top50,8,50,50,49,0.98,63.36734693877551,4.561121762985103,75.0,50.0,63.3,75.0,50.0,0.0,50,2.25
bypass,umda,both,5,1,20,top50,9,51,50,50,1.0,42.3,8.49764673306675,65.0,25.0,42.3,65.0,25.0,0.0,50,2.28125
bypass,umda,both,5,1,20,top70,0,42,50,48,0.96,26.25,6.884463184107628,40.0,15.0,25.9,40.0,15.0,0.0,50,2.171875
bypass,umda,both,5,1,20,top70,1,43,50,50,1.0,63.9,10.64377752492037,85.0,25.0,63.9,85.0,25.0,0.0,50,2.28125
bypass,umda,both,5,1,20,top70,2,44,50,50,1.0,44.1,5.804308744372581,60.0,35.0,44.1,60.0,35.0,0.0,50,2.234375
bypass,umda,both,5,1,20,top70,3,45,50,50,1.0,56.1,10.261091559868278,75.0,35.0,56.1,75.0,35.0,0.0,50,2.171875
bypass,umda,both,5,1,20,top70,4,46,50,50,1.0,58.6,6.931089380465382,70.0,45.0,58.6,70.0,45.0,0.0,50,2.21875
bypass,umda,both,5,1,20,top70,5,47,50,50,1.0,60.3,10.02047903046556,75.0,45.0,60.3,75.0,45.0,0.0,50,2.296875
bypass,umda,both,5,1,20,top70,6,48,50,50,1.0,52.4,5.58927544499285,65.0,35.0,52.4,65.0,35.0,0.0,50,2.203125
bypass,umda,both,5,1,20,top70,7,49,50,50,1.0,73.8,5.6178287620752565,80.0,60.0,73.8,80.0,60.0,0.0,50,2.203125
bypass,umda,both,5,1,20,top70,8,50,50,49,0.98,63.36734693877551,4.561121762985103,75.0,50.0,63.3,75.0,50.0,0.0,50,2.203125
bypass,umda,both,5,1,20,top70,9,51,50,50,1.0,42.3,8.49764673306675,65.0,25.0,42.3,65.0,25.0,0.0,50,2.203125
bypass,umda,both,5,1,20,top90,0,42,50,48,0.96,26.25,6.884463184107628,40.0,15.0,25.9,40.0,15.0,0.0,50,2.234375
bypass,umda,both,5,1,20,top90,1,43,50,50,1.0,63.9,10.64377752492037,85.0,25.0,63.9,85.0,25.0,0.0,50,2.21875
bypass,umda,both,5,1,20,top90,2,44,50,50,1.0,44.1,5.804308744372581,60.0,35.0,44.1,60.0,35.0,0.0,50,2.25
bypass,umda,both,5,1,20,top90,3,45,50,50,1.0,56.1,10.261091559868278,75.0,35.0,56.1,75.0,35.0,0.0,50,2.125
bypass,umda,both,5,1,20,top90,4,46,50,50,1.0,58.6,6.931089380465382,70.0,45.0,58.6,70.0,45.0,0.0,50,2.203125
bypass,umda,both,5,1,20,top90,5,47,50,50,1.0,60.3,10.02047903046556,75.0,45.0,60.3,75.0,45.0,0.0,50,2.234375
bypass,umda,both,5,1,20,top90,6,48,50,50,1.0,52.4,5.58927544499285,65.0,35.0,52.4,65.0,35.0,0.0,50,2.125
bypass,umda,both,5,1,20,top90,7,49,50,50,1.0,73.8,5.6178287620752565,80.0,60.0,73.8,80.0,60.0,0.0,50,2.078125
bypass,umda,both,5,1,20,top90,8,50,50,49,0.98,63.36734693877551,4.561121762985103,75.0,50.0,63.3,75.0,50.0,0.0,50,2.078125
bypass,umda,both,5,1,20,top90,9,51,50,50,1.0,42.3,8.49764673306675,65.0,25.0,42.3,65.0,25.0,0.0,50,2.140625
bypass,umda,both,10,2,20,top10,0,42,50,50,1.0,45.8,4.400000000000001,65.0,35.0,45.8,65.0,35.0,0.0,50,2.0625
bypass,umda,both,10,2,20,top10,1,43,50,50,1.0,61.9,9.944345126754198,85.0,30.0,61.9,85.0,30.0,0.0,50,2.140625
bypass,umda,both,10,2,20,top10,2,44,50,50,1.0,78.4,8.027452896155792,95.0,60.0,78.4,95.0,60.0,0.0,50,2.109375
bypass,umda,both,10,2,20,top10,3,45,50,50,1.0,52.9,7.621679604916491,65.0,35.0,52.9,65.0,35.0,0.0,50,2.09375
bypass,umda,both,10,2,20,top10,4,46,50,50,1.0,71.8,8.29216497665115,85.0,45.0,71.8,85.0,45.0,0.0,50,2.125
bypass,umda,both,10,2,20,top10,5,47,50,50,1.0,70.0,8.48528137423857,90.0,50.0,70.0,90.0,50.0,0.0,50,2.125
bypass,umda,both,10,2,20,top10,6,48,50,50,1.0,56.2,4.643274706497559,65.0,45.0,56.2,65.0,45.0,0.0,50,2.078125
bypass,umda,both,10,2,20,top10,7,49,50,49,0.98,74.6938775510204,7.720114416072546,85.0,55.00000000000001,74.6,85.0,55.00000000000001,0.0,50,2.140625
bypass,umda,both,10,2,20,top10,8,50,50,50,1.0,64.8,1.3999999999999992,65.0,55.00000000000001,64.8,65.0,55.00000000000001,0.0,50,2.078125
bypass,umda,both,10,2,20,top10,9,51,50,50,1.0,44.1,5.26212884676915,55.00000000000001,35.0,44.1,55.00000000000001,35.0,0.0,50,2.203125
bypass,umda,both,10,2,20,top30,0,42,50,50,1.0,45.8,4.400000000000001,65.0,35.0,45.8,65.0,35.0,0.0,50,2.0625
bypass,umda,both,10,2,20,top30,1,43,50,50,1.0,61.9,9.944345126754198,85.0,30.0,61.9,85.0,30.0,0.0,50,2.0625
bypass,umda,both,10,2,20,top30,2,44,50,50,1.0,78.4,8.027452896155792,95.0,60.0,78.4,95.0,60.0,0.0,50,2.09375
bypass,umda,both,10,2,20,top30,3,45,50,50,1.0,52.9,7.621679604916491,65.0,35.0,52.9,65.0,35.0,0.0,50,2.203125
bypass,umda,both,10,2,20,top30,4,46,50,50,1.0,71.8,8.29216497665115,85.0,45.0,71.8,85.0,45.0,0.0,50,2.09375
bypass,umda,both,10,2,20,top30,5,47,50,50,1.0,70.0,8.48528137423857,90.0,50.0,70.0,90.0,50.0,0.0,50,2.15625
bypass,umda,both,10,2,20,top30,6,48,50,50,1.0,56.2,4.643274706497559,65.0,45.0,56.2,65.0,45.0,0.0,50,2.171875
bypass,umda,both,10,2,20,top30,7,49,50,49,0.98,74.6938775510204,7.720114416072546,85.0,55.00000000000001,74.6,85.0,55.00000000000001,0.0,50,2.125
bypass,umda,both,10,2,20,top30,8,50,50,50,1.0,64.8,1.3999999999999992,65.0,55.00000000000001,64.8,65.0,55.00000000000001,0.0,50,2.125
bypass,umda,both,10,2,20,top30,9,51,50,50,1.0,44.1,5.26212884676915,55.00000000000001,35.0,44.1,55.00000000000001,35.0,0.0,50,2.390625
bypass,umda,both,10,2,20,top50,0,42,50,50,1.0,45.8,4.400000000000001,65.0,35.0,45.8,65.0,35.0,0.0,50,2.1875
bypass,umda,both,10,2,20,top50,1,43,50,50,1.0,61.9,9.944345126754198,85.0,30.0,61.9,85.0,30.0,0.0,50,2.1875
bypass,umda,both,10,2,20,top50,2,44,50,50,1.0,78.4,8.027452896155792,95.0,60.0,78.4,95.0,60.0,0.0,50,2.125
bypass,umda,both,10,2,20,top50,3,45,50,50,1.0,52.9,7.621679604916491,65.0,35.0,52.9,65.0,35.0,0.0,50,2.3125
bypass,umda,both,10,2,20,top50,4,46,50,50,1.0,71.8,8.29216497665115,85.0,45.0,71.8,85.0,45.0,0.0,50,2.1875
bypass,umda,both,10,2,20,top50,5,47,50,50,1.0,70.0,8.48528137423857,90.0,50.0,70.0,90.0,50.0,0.0,50,2.203125
bypass,umda,both,10,2,20,top50,6,48,50,50,1.0,56.2,4.643274706497559,65.0,45.0,56.2,65.0,45.0,0.0,50,2.234375
bypass,umda,both,10,2,20,top50,7,49,50,49,0.98,74.6938775510204,7.720114416072546,85.0,55.00000000000001,74.6,85.0,55.00000000000001,0.0,50,2.296875
bypass,umda,both,10,2,20,top50,8,50,50,50,1.0,64.8,1.3999999999999992,65.0,55.00000000000001,64.8,65.0,55.00000000000001,0.0,50,2.25
bypass,umda,both,10,2,20,top50,9,51,50,50,1.0,44.1,5.26212884676915,55.00000000000001,35.0,44.1,55.00000000000001,35.0,0.0,50,2.125
bypass,umda,both,10,2,20,top70,0,42,50,50,1.0,45.8,4.400000000000001,65.0,35.0,45.8,65.0,35.0,0.0,50,2.125
bypass,umda,both,10,2,20,top70,1,43,50,50,1.0,61.9,9.944345126754198,85.0,30.0,61.9,85.0,30.0,0.0,50,2.09375
bypass,umda,both,10,2,20,top70,2,44,50,50,1.0,78.4,8.027452896155792,95.0,60.0,78.4,95.0,60.0,0.0,50,2.140625
bypass,umda,both,10,2,20,top70,3,45,50,50,1.0,52.9,7.621679604916491,65.0,35.0,52.9,65.0,35.0,0.0,50,2.078125
bypass,umda,both,10,2,20,top70,4,46,50,50,1.0,71.8,8.29216497665115,85.0,45.0,71.8,85.0,45.0,0.0,50,2.265625
bypass,umda,both,10,2,20,top70,5,47,50,50,1.0,70.0,8.48528137423857,90.0,50.0,70.0,90.0,50.0,0.0,50,2.109375
bypass,umda,both,10,2,20,top70,6,48,50,50,1.0,56.2,4.643274706497559,65.0,45.0,56.2,65.0,45.0,0.0,50,2.171875
bypass,umda,both,10,2,20,top70,7,49,50,49,0.98,74.6938775510204,7.720114416072546,85.0,55.00000000000001,74.6,85.0,55.00000000000001,0.0,50,2.1875
bypass,umda,both,10,2,20,top70,8,50,50,50,1.0,64.8,1.3999999999999992,65.0,55.00000000000001,64.8,65.0,55.00000000000001,0.0,50,2.109375
bypass,umda,both,10,2,20,top70,9,51,50,50,1.0,44.1,5.26212884676915,55.00000000000001,35.0,44.1,55.00000000000001,35.0,0.0,50,2.125
bypass,umda,both,10,2,20,top90,0,42,50,50,1.0,45.8,4.400000000000001,65.0,35.0,45.8,65.0,35.0,0.0,50,2.265625
bypass,umda,both,10,2,20,top90,1,43,50,50,1.0,61.9,9.944345126754198,85.0,30.0,61.9,85.0,30.0,0.0,50,2.34375
bypass,umda,both,10,2,20,top90,2,44,50,50,1.0,78.4,8.027452896155792,95.0,60.0,78.4,95.0,60.0,0.0,50,2.984375
bypass,umda,both,10,2,20,top90,3,45,50,50,1.0,52.9,7.621679604916491,65.0,35.0,52.9,65.0,35.0,0.0,50,2.625
bypass,umda,both,10,2,20,top90,4,46,50,50,1.0,71.8,8.29216497665115,85.0,45.0,71.8,85.0,45.0,0.0,50,2.171875
bypass,umda,both,10,2,20,top90,5,47,50,50,1.0,70.0,8.48528137423857,90.0,50.0,70.0,90.0,50.0,0.0,50,2.21875
bypass,umda,both,10,2,20,top90,6,48,50,50,1.0,56.2,4.643274706497559,65.0,45.0,56.2,65.0,45.0,0.0,50,2.15625
bypass,umda,both,10,2,20,top90,7,49,50,49,0.98,74.6938775510204,7.720114416072546,85.0,55.00000000000001,74.6,85.0,55.00000000000001,0.0,50,2.15625
bypass,umda,both,10,2,20,top90,8,50,50,50,1.0,64.8,1.3999999999999992,65.0,55.00000000000001,64.8,65.0,55.00000000000001,0.0,50,2.140625
bypass,umda,both,10,2,20,top90,9,51,50,50,1.0,44.1,5.26212884676915,55.00000000000001,35.0,44.1,55.00000000000001,35.0,0.0,50,2.140625
bypass,umda,both,20,4,20,top10,0,42,50,50,1.0,53.6,3.878143885933064,65.0,45.0,53.6,65.0,45.0,0.0,50,2.25
bypass,umda,both,20,4,20,top10,1,43,50,50,1.0,61.0,6.164414002968973,75.0,55.00000000000001,61.0,75.0,55.00000000000001,0.0,50,2.1875
bypass,umda,both,20,4,20,top10,2,44,50,50,1.0,74.3,9.747307320486,95.0,55.00000000000001,74.3,95.0,55.00000000000001,0.0,50,2.25
bypass,umda,both,20,4,20,top10,3,45,50,50,1.0,72.4,5.122499389946278,85.0,55.00000000000001,72.4,85.0,55.00000000000001,0.0,50,2.21875
bypass,umda,both,20,4,20,top10,4,46,50,50,1.0,81.0,5.477225575051661,95.0,70.0,81.0,95.0,70.0,0.0,50,2.328125
bypass,umda,both,20,4,20,top10,5,47,50,50,1.0,68.8,5.344155686354956,85.0,60.0,68.8,85.0,60.0,0.0,50,2.234375
bypass,umda,both,20,4,20,top10,6,48,50,50,1.0,68.6,7.073895673530957,85.0,55.00000000000001,68.6,85.0,55.00000000000001,0.0,50,2.234375
bypass,umda,both,20,4,20,top10,7,49,50,49,0.98,70.61224489795919,8.549534720674862,85.0,50.0,70.3,85.0,50.0,0.0,50,2.234375
bypass,umda,both,20,4,20,top10,8,50,50,50,1.0,73.8,3.544009029333871,80.0,65.0,73.8,80.0,65.0,0.0,50,2.15625
bypass,umda,both,20,4,20,top10,9,51,50,50,1.0,52.9,7.489325737341113,75.0,45.0,52.9,75.0,45.0,0.0,50,2.25
bypass,umda,both,20,4,20,top30,0,42,50,50,1.0,53.6,3.878143885933064,65.0,45.0,53.6,65.0,45.0,0.0,50,2.15625
bypass,umda,both,20,4,20,top30,1,43,50,50,1.0,61.0,6.164414002968973,75.0,55.00000000000001,61.0,75.0,55.00000000000001,0.0,50,2.171875
bypass,umda,both,20,4,20,top30,2,44,50,50,1.0,74.3,9.747307320486,95.0,55.00000000000001,74.3,95.0,55.00000000000001,0.0,50,2.1875
bypass,umda,both,20,4,20,top30,3,45,50,50,1.0,72.4,5.122499389946278,85.0,55.00000000000001,72.4,85.0,55.00000000000001,0.0,50,2.265625
bypass,umda,both,20,4,20,top30,4,46,50,50,1.0,81.0,5.477225575051661,95.0,70.0,81.0,95.0,70.0,0.0,50,2.21875
bypass,umda,both,20,4,20,top30,5,47,50,50,1.0,68.8,5.344155686354956,85.0,60.0,68.8,85.0,60.0,0.0,50,2.28125
bypass,umda,both,20,4,20,top30,6,48,50,50,1.0,68.6,7.073895673530957,85.0,55.00000000000001,68.6,85.0,55.00000000000001,0.0,50,2.1875
bypass,umda,both,20,4,20,top30,7,49,50,49,0.98,70.61224489795919,8.549534720674862,85.0,50.0,70.3,85.0,50.0,0.0,50,2.078125
bypass,umda,both,20,4,20,top30,8,50,50,50,1.0,73.8,3.544009029333871,80.0,65.0,73.8,80.0,65.0,0.0,50,2.21875
bypass,umda,both,20,4,20,top30,9,51,50,50,1.0,52.9,7.489325737341113,75.0,45.0,52.9,75.0,45.0,0.0,50,2.109375
bypass,umda,both,20,4,20,top50,0,42,50,50,1.0,53.6,3.878143885933064,65.0,45.0,53.6,65.0,45.0,0.0,50,2.296875
bypass,umda,both,20,4,20,top50,1,43,50,50,1.0,61.0,6.164414002968973,75.0,55.00000000000001,61.0,75.0,55.00000000000001,0.0,50,2.109375
bypass,umda,both,20,4,20,top50,2,44,50,50,1.0,74.3,9.747307320486,95.0,55.00000000000001,74.3,95.0,55.00000000000001,0.0,50,2.171875
bypass,umda,both,20,4,20,top50,3,45,50,50,1.0,72.4,5.122499389946278,85.0,55.00000000000001,72.4,85.0,55.00000000000001,0.0,50,2.109375
bypass,umda,both,20,4,20,top50,4,46,50,50,1.0,81.0,5.477225575051661,95.0,70.0,81.0,95.0,70.0,0.0,50,2.15625
bypass,umda,both,20,4,20,top50,5,47,50,50,1.0,68.8,5.344155686354956,85.0,60.0,68.8,85.0,60.0,0.0,50,2.109375
bypass,umda,both,20,4,20,top50,6,48,50,50,1.0,68.6,7.073895673530957,85.0,55.00000000000001,68.6,85.0,55.00000000000001,0.0,50,2.109375
bypass,umda,both,20,4,20,top50,7,49,50,49,0.98,70.61224489795919,8.549534720674862,85.0,50.0,70.3,85.0,50.0,0.0,50,2.140625
bypass,umda,both,20,4,20,top50,8,50,50,50,1.0,73.8,3.544009029333871,80.0,65.0,73.8,80.0,65.0,0.0,50,2.171875
bypass,umda,both,20,4,20,top50,9,51,50,50,1.0,52.9,7.489325737341113,75.0,45.0,52.9,75.0,45.0,0.0,50,2.125
bypass,umda,both,20,4,20,top70,0,42,50,50,1.0,53.6,3.878143885933064,65.0,45.0,53.6,65.0,45.0,0.0,50,2.21875
bypass,umda,both,20,4,20,top70,1,43,50,50,1.0,61.0,6.164414002968973,75.0,55.00000000000001,61.0,75.0,55.00000000000001,0.0,50,2.1875
bypass,umda,both,20,4,20,top70,2,44,50,50,1.0,74.3,9.747307320486,95.0,55.00000000000001,74.3,95.0,55.00000000000001,0.0,50,2.265625
bypass,umda,both,20,4,20,top70,3,45,50,50,1.0,72.4,5.122499389946278,85.0,55.00000000000001,72.4,85.0,55.00000000000001,0.0,50,2.296875
bypass,umda,both,20,4,20,top70,4,46,50,50,1.0,81.0,5.477225575051661,95.0,70.0,81.0,95.0,70.0,0.0,50,2.21875
bypass,umda,both,20,4,20,top70,5,47,50,50,1.0,68.8,5.344155686354956,85.0,60.0,68.8,85.0,60.0,0.0,50,2.109375
bypass,umda,both,20,4,20,top70,6,48,50,50,1.0,68.6,7.073895673530957,85.0,55.00000000000001,68.6,85.0,55.00000000000001,0.0,50,2.203125
bypass,umda,both,20,4,20,top70,7,49,50,49,0.98,70.61224489795919,8.549534720674862,85.0,50.0,70.3,85.0,50.0,0.0,50,2.1875
bypass,umda,both,20,4,20,top70,8,50,50,50,1.0,73.8,3.544009029333871,80.0,65.0,73.8,80.0,65.0,0.0,50,2.140625
bypass,umda,both,20,4,20,top70,9,51,50,50,1.0,52.9,7.489325737341113,75.0,45.0,52.9,75.0,45.0,0.0,50,2.1875
bypass,umda,both,20,4,20,top90,0,42,50,50,1.0,53.6,3.878143885933064,65.0,45.0,53.6,65.0,45.0,0.0,50,2.265625
