network,optimizer,pct,stop_mode,n_runs,runs_with_satisfiers,mean_n_satisfiers,total_satisfiers,sat_pool_mean,sat_pool_std,sat_pool_best,sat_pool_worst,sat_runmean_mean,sat_runbest_mean,sat_runworst_mean,pop_acc_mean,pop_acc_best,pop_acc_worst,stop_gen_mean,cpu_total_mean
bypass,egna,5,top90,10,10,47.9,479,63.72651356993737,13.969335137023663,95.0,15.0,63.83293983273236,89.5,38.5,63.31999999999999,90.0,34.5,50.1,25.89375
bypass,egna,10,top90,10,10,48.3,483,70.41407867494824,12.975305759591441,95.0,35.0,70.32984790370048,87.5,47.0,70.13,87.5,46.0,50.0,27.88125
bypass,egna,20,top90,10,10,47.2,472,68.53813559322033,13.458293514431817,95.0,35.0,68.60151570048309,86.0,49.0,68.33,87.0,45.0,50.7,28.578125
bypass,egna,30,top90,10,10,47.3,473,77.30443974630022,10.811488748397647,100.0,50.0,77.28642433414932,90.0,64.5,77.09,90.0,62.0,50.3,25.809375
bypass,emna,5,top10,10,10,46.6,0,,,,,60.10682442602918,85.5,34.5,59.57000000000001,85.5,33.5,50.0,3.4953125
bypass,emna,5,top30,10,10,46.6,0,,,,,60.10682442602918,85.5,34.5,59.57000000000001,85.5,33.5,50.0,3.0125
bypass,emna,5,top50,10,10,46.6,0,,,,,60.10682442602918,85.5,34.5,59.57000000000001,85.5,33.5,50.0,2.95625
bypass,emna,5,top70,10,10,46.6,0,,,,,60.10682442602918,85.5,34.5,59.57000000000001,85.5,33.5,50.0,3.0859375
bypass,emna,5,top90,10,10,47.3,0,,,,,60.56425580161143,85.5,35.5,60.169999999999995,85.5,34.5,50.6,2.9953125
bypass,emna,10,top10,10,10,44.3,0,,,,,60.80383591964359,84.0,37.0,59.96999999999999,84.0,34.5,50.0,3.0921875
bypass,emna,10,top30,10,10,44.3,0,,,,,60.80383591964359,84.0,37.0,59.96999999999999,84.0,34.5,50.0,2.878125
bypass,emna,10,top50,10,10,44.3,0,,,,,60.80383591964359,84.0,37.0,59.96999999999999,84.0,34.5,50.0,2.33125
bypass,emna,10,top70,10,10,44.3,0,,,,,60.80383591964359,84.0,37.0,59.96999999999999,84.0,34.5,50.0,2.353125
bypass,emna,10,top90,10,10,47.0,0,,,,,60.68194266929714,85.0,36.0,60.31999999999999,85.0,35.0,51.6,2.396875
bypass,emna,20,top10,10,10,44.2,0,,,,,66.21338335721887,84.0,45.5,65.53,84.0,41.5,50.0,2.290625
bypass,emna,20,top30,10,10,44.2,0,,,,,66.21338335721887,84.0,45.5,65.53,84.0,41.5,50.0,2.3375
bypass,emna,20,top50,10,10,44.2,0,,,,,66.21338335721887,84.0,45.5,65.53,84.0,41.5,50.0,2.4359375
bypass,emna,20,top70,10,10,45.3,0,,,,,66.23920035068292,85.0,44.5,65.58,85.0,40.5,50.1,2.4203125
bypass,emna,20,top90,10,10,46.4,0,,,,,66.82352952513105,86.0,45.5,66.34,86.0,43.5,52.3,2.446875
bypass,emna,30,top10,10,10,40.7,0,,,,,76.20227047096043,92.0,61.0,74.47,92.0,55.0,50.4,2.334375
bypass,emna,30,top30,10,10,41.5,0,,,,,76.18798475667471,91.5,60.5,74.97999999999999,92.0,56.0,52.2,2.453125
bypass,emna,30,top50,10,10,43.6,0,,,,,75.8768736455636,92.5,60.0,74.67999999999999,92.5,55.0,52.8,2.50625
bypass,emna,30,top70,10,10,43.6,0,,,,,75.8768736455636,92.5,60.0,74.67999999999999,92.5,55.0,52.8,2.50625
bypass,emna,30,top90,10,10,47.4,0,,,,,75.5609257720973,92.0,59.5,75.16,92.0,57.5,58.9,2.7515625
bypass,keda,5,top90,10,10,392.2,3922,72.56756756756756,13.499150960086004,100.0,25.0,72.56840601926072,99.5,31.0,72.35625,99.5,30.0,50.0,26.21875
bypass,keda,10,top90,10,10,388.4,3884,72.73815653964985,12.457494210239568,100.0,25.0,72.77312221414203,99.5,38.5,72.6075,99.5,37.5,50.0,28.65
bypass,keda,20,top90,10,10,387.0,3870,76.59302325581395,11.919779358508759,100.0,40.0,76.57891628120994,99.5,50.0,76.32,99.5,45.0,50.0,29.5234375
bypass,keda,30,top90,10,10,381.9,3819,80.96491228070175,10.504046007156198,100.0,50.0,80.91714835823893,99.5,65.0,80.68125,100.0,52.0,53.0,27.7859375
bypass,umda,5,top10,10,10,49.7,0,,,,,54.11173469387755,69.0,37.0,54.07000000000001,69.0,37.0,50.0,2.3484375
bypass,umda,5,top30,10,10,49.7,0,,,,,54.11173469387755,69.0,37.0,54.07000000000001,69.0,37.0,50.0,2.3609375
bypass,umda,5,top50,10,10,49.7,0,,,,,54.11173469387755,69.0,37.0,54.07000000000001,69.0,37.0,50.0,2.2265625
bypass,umda,5,top70,10,10,49.7,0,,,,,54.11173469387755,69.0,37.0,54.07000000000001,69.0,37.0,50.0,2.21875
bypass,umda,5,top90,10,10,49.7,0,,,,,54.11173469387755,69.0,37.0,54.07000000000001,69.0,37.0,50.0,2.16875
bypass,umda,10,top10,10,10,49.9,0,,,,,62.059387755102044,75.5,44.5,62.05,75.5,44.5,50.0,2.115625
bypass,umda,10,top30,10,10,49.9,0,,,,,62.059387755102044,75.5,44.5,62.05,75.5,44.5,50.0,2.1484375
bypass,umda,10,top50,10,10,49.9,0,,,,,62.059387755102044,75.5,44.5,62.05,75.5,44.5,50.0,2.2109375
bypass,umda,10,top70,10,10,49.9,0,,,,,62.059387755102044,75.5,44.5,62.05,75.5,44.5,50.0,2.140625
bypass,umda,10,top90,10,10,49.9,0,,,,,62.059387755102044,75.5,44.5,62.05,75.5,44.5,50.0,2.3203125
bypass,umda,20,top10,10,10,49.9,0,,,,,67.7012244897959,82.5,55.5,67.66999999999999,82.5,55.5,50.0,2.234375
bypass,umda,20,top30,10,10,49.9,0,,,,,67.7012244897959,82.5,55.5,67.66999999999999,82.5,55.5,50.0,2.1875
bypass,umda,20,top50,10,10,49.9,0,,,,,67.7012244897959,82.5,55.5,67.66999999999999,82.5,55.5,50.0,2.15
bypass,umda,20,top70,10,10,49.9,0,,,,,67.7012244897959,82.5,55.5,67.66999999999999,82.5,55.5,50.0,2.2015625
bypass,umda,20,top90,10,10,49.9,0,,,,,67.7012244897959,82.5,55.5,67.66999999999999,82.5,55.5,50.0,2.1859375
bypass,umda,30,top10,10,9,44.7,0,,,,,74.73735827664399,86.66666666666667,62.22222222222222,72.91999999999999,85.0,60.5,55.0,2.4203125
bypass,umda,30,top30,10,9,44.7,0,,,,,74.73735827664399,86.66666666666667,62.22222222222222,72.91999999999999,85.0,60.5,55.0,2.4484375
bypass,umda,30,top50,10,9,44.7,0,,,,,74.73735827664399,86.66666666666667,62.22222222222222,72.91999999999999,85.0,60.5,55.0,2.4140625
bypass,umda,30,top70,10,9,44.7,0,,,,,74.73735827664399,86.66666666666667,62.22222222222222,72.91999999999999,85.0,60.5,55.0,2.4375
bypass,umda,30,top90,10,9,44.7,0,,,,,74.73735827664399,86.66666666666667,62.22222222222222,72.91999999999999,85.0,60.5,55.0,3.634375
nhlv1,emna,5,top90,5,5,48.2,0,,,,,86.06278745223082,98.50746268656717,69.25373134328359,85.79104477611939,98.50746268656717,62.985074626865675,51.0,675.2
nhlv1,emna,10,top90,5,5,46.0,0,,,,,83.82234065564867,93.43283582089552,74.6268656716418,82.87761194029851,93.43283582089552,47.46268656716418,50.0,662.275
nhlv1,emna,20,top90,5,5,46.4,0,,,,,90.26259340588052,96.4179104477612,82.08955223880596,90.3223880597015,97.3134328358209,82.08955223880596,53.4,721.9625
nhlv1,emna,30,top90,5,4,36.6,0,,,,,94.64224514185163,99.25373134328358,89.17910447761194,92.99104477611941,98.80597014925374,85.37313432835819,75.4,1010.1
nhlv1,umda,5,top90,5,5,50.0,0,,,,,73.45671641791044,77.31343283582089,69.25373134328359,73.45671641791044,77.31343283582089,69.25373134328359,50.0,776.11875
nhlv1,umda,10,top90,5,5,50.0,0,,,,,74.88955223880598,78.2089552238806,72.83582089552239,74.88955223880598,78.2089552238806,72.83582089552239,50.0,674.64375
nhlv1,umda,20,top90,5,4,39.6,0,,,,,77.91542288557214,82.46268656716418,75.74626865671642,75.83880597014925,80.0,73.43283582089552,60.0,803.603125
nhlv1,umda,30,top90,5,2,19.6,0,,,,,82.75995024875621,82.83582089552237,80.59701492537314,80.85373134328356,82.08955223880596,78.50746268656717,80.0,1049.35
